alloy_rep_id,alloy_cnt.x,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,toughness,young_mod,frac_stress,gcv,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt.y
0.471211344493835_0.393716987664529_0.028239730499606_0.0173855623909212_0.0894463749511089_2,35,2.37397282676201,-3.02002496612305,6.10740017235242,3.0464224117824,-0.288204285741324,-0.0528007139949934,-0.0100516865627389,-0.0113581998266255,0.295863755797014,259.465736913751,10.5182490971973,3.09948228517093,MoNbTaVW,0.471211344493835,0.393716987664529,0.028239730499606,0.0173855623909212,0.0894463749511089,2,2,35
0.471211344493835_0.393716987664529_0.028239730499606_0.0173855623909212_0.0894463749511089_3,35,2.36694452693457,-3.02002496612303,6.11353387065462,3.04682564333847,-0.288699806108301,-0.0523167898177927,-0.00919151605249919,-0.0129794815472427,0.296160080040721,260.269462451565,10.5228506802302,3.13118615695733,MoNbTaVW,0.471211344493835,0.393716987664529,0.028239730499606,0.0173855623909212,0.0894463749511089,3,2,35
0.4_0.6_0_0_0_1,38,2.23663176862764,-2.91877123241787,5.2757931086687,2.77352941884932,-0.306887615301451,-0.0587492212816511,0.00313366450837634,-0.0120638360862965,0.283052796358089,221.040817430714,9.19751903265395,2.50839414755276,MoNb,0.4,0.6,0,0,0,1,0,38
0.4_0.6_0_0_0_2,38,2.24413395014521,-2.8895720777256,5.39022267111133,2.81273579477664,-0.334903440623215,-0.0632634291207128,0.00176387331607266,-0.0124689950121815,0.297836334256225,220.918761458109,9.3019070766583,2.48316696893288,MoNb,0.4,0.6,0,0,0,2,0,38
0.4_0.6_0_0_0_3,38,2.25289372570802,-2.86120138059639,5.50047692677042,2.84084034902867,-0.369800618085832,-0.0736828165632795,-0.00297959097711616,-0.0153874419739856,0.312760157077186,220.930543934055,9.33596279951206,2.5305406651049,MoNb,0.4,0.6,0,0,0,3,0,38
0.4_0_0.6_0_0_1,39,2.24740094694679,-2.6063965473757,5.85232482546451,2.91464936724647,-0.575203998473968,-0.152869813614245,0.00239919896048985,0.00275320904106175,0.43006304566116,185.302056433935,9.23176900889388,3.01412772122807,MoTa,0.4,0,0.6,0,0,1,0,39
0.4_0_0.6_0_0_2,39,2.24566539193322,-2.6621212692138,5.65568616175326,2.89661595235759,-0.477677859389568,-0.136964296621905,-0.00708148171254478,-0.00916195734264673,0.392933343175354,186.925971752609,9.19633920121872,2.91810889078276,MoTa,0.4,0,0.6,0,0,2,0,39
0.4_0_0.6_0_0_3,39,2.24648217085864,-2.60639654737572,5.84710953400159,2.91193367469693,-0.577561688419314,-0.153905209285583,0.00233580350956604,0.000827504048345264,0.42968266826302,185.474343273317,9.20798074584746,3.00517908939805,MoTa,0.4,0,0.6,0,0,3,0,39
0.4_0_0_0.6_0_1,40,2.38486039097547,-2.73954086819359,5.88105124270261,3.14985541113176,-0.233269275095316,-0.0182874101205402,-0.00214423784917429,-0.00773987170968365,0.377773465988956,200.705616894369,10.7150552228416,1.57355413640784,MoV,0.4,0,0,0.6,0,1,0,40
0.4_0_0_0.6_0_2,40,2.39901451370629,-2.70306265959116,6.0524137270484,3.22576605945842,-0.258030457796534,-0.0238446806332734,-0.00442335508199381,-0.00841831450729698,0.403324837534397,200.4664199332,10.9407730446528,1.52540038747763,MoV,0.4,0,0,0.6,0,2,0,40
0.4_0_0_0.6_0_3,40,2.39391987898669,-2.71810053695571,5.98887179938208,3.1954000804971,-0.247421944136415,-0.0208899917208189,-0.00386307329699051,-0.00762352067635548,0.393094424501613,200.638604974881,10.8594948211981,1.5085518546551,MoV,0.4,0,0,0.6,0,3,0,40
0.4_0_0_0_0.6_1,41,2.6775471408709,-3.09665819214397,7.91128133924366,4.29131450976698,-0.284404698886408,-0.0397309294821622,-0.00592021960124113,-0.0079441212510151,0.354685750419288,374.069232165755,14.5203644973787,1.17457274073362,MoW,0.4,0,0,0,0.6,1,0,41
0.4_0_0_0_0.6_2,41,2.67545107787501,-3.10109278921181,7.87901406556499,4.27956208152071,-0.280492847506794,-0.0395389272718449,-0.00432888145707972,-0.00525035020665785,0.351658383309876,373.353665990789,14.4888838067516,1.15652899815634,MoW,0.4,0,0,0,0.6,2,0,41
